::ffff:127.0.0.1 - - [21/Mar/2024:19:54:45 +0000] "POST /departments/65fb2bc57e5a16f1fc39ee88/personnels HTTP/1.1" 404 187 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:19:54:55 +0000] "POST /departments/65fb2bc57e5a16f1fc39ee88/personnels HTTP/1.1" 404 187 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:19:54:56 +0000] "POST /departments/65fb2bc57e5a16f1fc39ee88/personnels HTTP/1.1" 404 187 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:19:54:56 +0000] "POST /departments/65fb2bc57e5a16f1fc39ee88/personnels HTTP/1.1" 404 187 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:19:55:03 +0000] "POST /departments/65fb2bc57e5a16f1fc39ee88/personnels HTTP/1.1" 404 187 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:19:55:03 +0000] "POST /departments/65fb2bc57e5a16f1fc39ee88/personnels HTTP/1.1" 404 187 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:19:55:03 +0000] "POST /departments/65fb2bc57e5a16f1fc39ee88/personnels HTTP/1.1" 404 187 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:19:55:03 +0000] "POST /departments/65fb2bc57e5a16f1fc39ee88/personnels HTTP/1.1" 404 187 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:19:55:04 +0000] "POST /departments/65fb2bc57e5a16f1fc39ee88/personnels HTTP/1.1" 404 187 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:19:55:04 +0000] "POST /departments/65fb2bc57e5a16f1fc39ee88/personnels HTTP/1.1" 404 187 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:19:55:08 +0000] "GET /departments/65fb2bc57e5a16f1fc39ee88/personnels HTTP/1.1" 200 6316 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:19:55:12 +0000] "GET /departments//personnels HTTP/1.1" 500 177 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:19:55:18 +0000] "GET /departments/ HTTP/1.1" 200 566 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:20:01:17 +0000] "GET /departments/ HTTP/1.1" 200 566 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:20:01:17 +0000] "GET /departments/ HTTP/1.1" 200 566 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:20:01:17 +0000] "GET /departments/ HTTP/1.1" 200 566 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:20:01:17 +0000] "GET /departments/ HTTP/1.1" 200 566 "-" "Thunder Client (https://www.thunderclient.com)"
::1 - - [21/Mar/2024:20:45:44 +0000] "GET /documents/swagger HTTP/1.1" 301 201 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:45:44 +0000] "GET /documents/swagger/ HTTP/1.1" 200 3106 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:45:44 +0000] "GET /documents/swagger/swagger-ui-init.js HTTP/1.1" 200 1495 "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:45:44 +0000] "GET /documents/swagger/swagger-ui-standalone-preset.js HTTP/1.1" 200 230777 "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:45:44 +0000] "GET /documents/swagger/swagger-ui.css HTTP/1.1" 200 152059 "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:45:44 +0000] "GET /documents/swagger/swagger-ui-bundle.js HTTP/1.1" 200 1415333 "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:45:44 +0000] "GET / HTTP/1.1" 200 52 "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
